x,y,z,theta,dist_l,conf_l,dist_r,conf_r
3352249.35553, 5074568.20713, 185.161810191, -3.10406984619, 2.5, -1, 2.5, -1
3352249.32898, 5074568.1947, 185.161788804, -3.10404393793, 2.5, -1, 2.5, -1
3352249.30246, 5074568.1823, 185.161846763, -3.10401975836, 2.5, -1, 2.5, -1
3352249.27586, 5074568.16981, 185.161909125, -3.10398479012, 2.5, -1, 2.5, -1
3352249.2493, 5074568.15736, 185.162031995, -3.10395095842, 2.5, -1, 2.5, -1
3352249.22264, 5074568.14483, 185.162164358, -3.1039237009, 2.5, -1, 2.5, -1
3352249.19599, 5074568.13229, 185.162334648, -3.10389963841, 2.5, -1, 2.5, -1
3352249.16932, 5074568.11976, 185.162520207, -3.10387805265, 2.5, -1, 2.5, -1
3352249.1426, 5074568.10718, 185.162695496, -3.10385742046, 2.5, -1, 2.5, -1
3352249.1426, 5074568.10718, 185.162695496, -3.10385742046, 2.5, -1, 2.5, -1
3352249.08907, 5074568.08197, 185.163133371, -3.10384990391, 2.5, -1, 2.5, -1
3352249.06222, 5074568.06931, 185.163294711, -3.10383911593, 2.5, -1, 2.5, -1
3352249.03537, 5074568.05667, 185.163481403, -3.10383365763, 2.5, -1, 2.5, -1
3352249.00851, 5074568.04404, 185.163653, -3.10383661754, 2.5, -1, 2.5, -1
3352249.00851, 5074568.04404, 185.163653, -3.10383661754, 2.5, -1, 2.5, -1
3352248.95475, 5074568.0186, 185.163858797, -3.10380344543, 2.5, -1, 2.5, -1
3352248.92797, 5074568.00589, 185.163865831, -3.1037816205, 2.5, -1, 2.5, -1
3352248.90123, 5074567.99309, 185.163741509, -3.10376097586, 2.5, -1, 2.5, -1
3352248.87456, 5074567.98019, 185.163433868, -3.10373518287, 2.5, -1, 2.5, -1
3352248.84765, 5074567.96745, 185.163507945, -3.10370077348, 2.5, -1, 2.5, -1
3352248.8208, 5074567.95462, 185.163375058, -3.10366298643, 2.5, -1, 2.5, -1
3352248.79391, 5074567.9418, 185.163294506, -3.1036312063, 2.5, -1, 2.5, -1
3352248.76697, 5074567.92898, 185.163206805, -3.10359449465, 2.5, -1, 2.5, -1
